FECHA_HORA,HORA,PERIODO,KWH_REC_BESS,KWH_ENT_BESS,BESS_REC_kW,BESS_ENT_kW,KWH_REC_ION,KWH_ENT_ION,ION_REC_kW,ION_ENT_kW,BESS_NETO_kWh,ION_NETO_kWh,Mejora_BESS_ION_kWh,Mejora_BESS_ION_kW,IUSA_CON_BESS_ION_kW,IUSA_SIN_BESS_ION_kW
14/06/2026 08:05,8,Base,43.2,0.0,518.4000000000001,0.0,5140.5041505,0,61686.049805999995,0,43.2,5140.5041505,5097.3041505,61167.649806,61686.049805999995,61167.649805999994
14/06/2026 09:05,9,Base,43.2,0.0,518.4000000000001,0.0,5533.688507,0,66404.262084,0,43.2,5533.688507,5490.488507,65885.862084,66404.262084,65885.86208400001
14/06/2026 10:05,10,Base,43.2,0.0,518.4000000000001,0.0,6057.3886414,0,72688.6636968,0,43.2,6057.3886414,6014.1886414,72170.2636968,72688.6636968,72170.2636968
14/06/2026 11:05,11,Base,57.6,0.0,691.2,0.0,6475.144348,0,77701.73217599999,0,57.6,6475.144348,6417.544347999999,77010.532176,77701.73217599999,77010.532176
14/06/2026 12:05,12,Base,43.2,0.0,518.4000000000001,0.0,6733.9791261,0,80807.7495132,0,43.2,6733.9791261,6690.7791261,80289.3495132,80807.7495132,80289.34951320001
14/06/2026 13:05,13,Base,43.2,0.0,518.4000000000001,0.0,6550.0446168,0,78600.5354016,0,43.2,6550.0446168,6506.8446168,78082.1354016,78600.5354016,78082.13540160001
14/06/2026 14:05,14,Base,57.6,0.0,691.2,0.0,6344.2868043,0,76131.4416516,0,57.6,6344.2868043,6286.6868042999995,75440.2416516,76131.4416516,75440.24165160001
14/06/2026 15:05,15,Base,43.2,0.0,518.4000000000001,0.0,6555.6640015,0,78667.968018,0,43.2,6555.6640015,6512.4640015,78149.568018,78667.968018,78149.568018
14/06/2026 16:05,16,Base,43.2,0.0,518.4000000000001,0.0,6240.6735231,0,74888.08227720001,0,43.2,6240.6735231,6197.4735231,74369.6822772,74888.08227720001,74369.68227720002
14/06/2026 17:05,17,Base,57.6,0.0,691.2,0.0,5970.3915712,0,71644.69885439999,0,57.6,5970.3915712,5912.791571199999,70953.4988544,71644.69885439999,70953.4988544
14/06/2026 18:05,18,Base,28.8,590.4,345.6,7084.799999999999,5069.2930907,0,60831.517088399996,0,-561.6,5069.2930907,5630.8930907,67570.71708840001,60831.517088399996,67570.7170884
14/06/2026 19:05,19,Base,0.0,2678.4,0.0,32140.800000000003,3811.8478697,0,45742.174436400004,0,-2678.4,3811.8478697,6490.247869700001,77882.9744364,45742.174436400004,77882.9744364
14/06/2026 20:05,20,Intermedio,0.0,2779.2,0.0,33350.399999999994,3829.2722472,0,45951.2669664,0,-2779.2,3829.2722472,6608.472247199999,79301.6669664,45951.2669664,79301.6669664
14/06/2026 21:05,21,Intermedio,43.2,57.6,518.4000000000001,691.2,6036.4198611,0,72437.0383332,0,-14.399999999999999,6036.4198611,6050.8198611,72609.8383332,72437.0383332,72609.83833320001
14/06/2026 22:05,22,Intermedio,57.6,0.0,691.2,0.0,6348.7183533,0,76184.6202396,0,57.6,6348.7183533,6291.118353299999,75493.42023959999,76184.6202396,75493.4202396
14/06/2026 23:05,23,Intermedio,43.2,0.0,518.4000000000001,0.0,6109.9841612,0,73319.8099344,0,43.2,6109.9841612,6066.7841612,72801.4099344,73319.8099344,72801.4099344
15/06/2026 00:05,24,Intermedio,43.2,0.0,518.4000000000001,0.0,6265.6026306,0,75187.23156720001,0,43.2,6265.6026306,6222.4026306000005,74668.8315672,75187.23156720001,74668.83156720002
15/06/2026 01:05,1,Intermedio,5716.8,0.0,68601.6,0.0,11427.294920600001,0,137127.5390472,0,5716.8,11427.294920600001,5710.494920600001,68525.93904720001,137127.5390472,68525.9390472
15/06/2026 02:05,2,Base,1180.8,0.0,14169.599999999999,0.0,7471.5972294,0,89659.1667528,0,1180.8,7471.5972294,6290.7972294,75489.5667528,89659.1667528,75489.56675279999
15/06/2026 03:05,3,Base,57.6,0.0,691.2,0.0,6234.0257568,0,74808.30908159999,0,57.6,6234.0257568,6176.425756799999,74117.10908159999,74808.30908159999,74117.10908159999
15/06/2026 04:05,4,Base,43.2,0.0,518.4000000000001,0.0,5751.8918762,0,69022.7025144,0,43.2,5751.8918762,5708.6918762000005,68504.30251440001,69022.7025144,68504.30251440001
